,wol,pcm,yor,hau,ibo,luo,lug,kin,swa
DATE,26.6 (2.9),91.0 (0.9),78.2 (1.6),84.0 (1.1),74.2 (1.7),67.0 (3.2),76.8 (1.5),71.2 (1.3),84.0 (2.5)
LOC,83.2 (1.2),86.6 (1.0),86.0 (0.6),95.0 (0.6),89.2 (1.0),80.4 (2.1),80.6 (1.0),78.2 (0.7),92.4 (0.5)
ORG,48.6 (3.7),79.4 (1.4),73.0 (1.3),78.0 (2.1),89.4 (0.8),59.0 (1.1),80.2 (0.4),73.4 (2.4),78.0 (1.1)
PER,64.8 (4.0),91.0 (1.1),91.0 (1.1),96.2 (0.7),91.0 (0.6),85.0 (1.1),90.8 (1.2),89.4 (0.8),96.2 (0.4)
overall,66.88 (1.7),87.09 (0.8),83.33 (0.3),91.64 (0.4),87.88 (0.5),76.23 (1.2),84.52 (0.5),78.34 (1.0),89.64 (0.6)
