,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,59.602337,45.111275,62.899555,48.87612,61.305347,37.55302,60.270966,35.088142,50.653484
std,1.7942927,2.1271894,2.1109757,2.4050744,1.7996961,2.77779,1.4908649,1.4585077,1.0991613
