,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,61.487232,39.71439,65.243,47.586662,64.80217,44.527832,61.568146,41.929054,39.40754
std,2.346466,2.792653,1.9701428,2.0622149,1.4830077,2.0371952,1.3185098,2.109824,0.54346216
