,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,55.861492,40.98796,64.88921,46.47065,59.08056,36.682774,56.12406,35.47125,35.38282
std,2.0157783,2.1562266,2.2231421,2.6201775,1.4364927,1.8398007,0.86159873,2.0232885,1.9514792
