,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,58.320496,40.322407,63.892082,55.33537,56.530945,38.495506,60.91567,47.784355,25.332134
std,1.4799162,2.1735034,1.7315911,1.3662108,1.7096999,1.4893132,1.4518422,1.2420241,1.9753729
