,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,53.288696,39.44125,57.623035,42.667503,53.784363,37.51012,53.989906,35.899445,28.772451
std,2.5306306,3.1537154,2.2128992,2.2483325,2.6516752,2.6673594,2.4575384,2.212509,2.1109145
