,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,54.148327,34.570335,57.999737,39.68402,55.82658,36.116116,55.422962,36.390694,35.478233
std,1.4573915,2.0507839,0.8193239,0.9636184,2.779351,2.83272,2.3290424,2.2844489,1.7497102
