,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,62.5461,48.95262,69.34767,61.184937,59.48423,45.88083,65.36571,54.95092,26.520489
std,2.7337348,4.2725763,1.8947055,2.351414,1.1963454,1.8178316,2.219179,3.1203082,1.4601632
