,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,61.14109,41.98198,78.33617,70.674416,64.31102,41.99578,66.83084,47.67052,45.022816
std,2.740923,3.131031,2.2063253,2.1137147,1.1481551,1.9001658,1.6647532,2.8393068,2.6667166
