,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,59.104042,44.928535,61.30171,37.593117,56.6101,33.08445,56.888195,35.54306,40.71239
std,2.2470055,2.3216171,1.2246908,0.88072723,1.342018,1.4448259,1.5610296,2.1023183,1.1584905
