,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,46.1978,35.520798,51.737846,43.410866,49.930107,37.41852,50.566765,39.06962,26.604126
std,1.2648927,1.6846892,1.9782523,2.8042808,2.02469,2.8539855,1.4458903,2.167109,1.1155123
