,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,68.06621,50.48075,77.516884,69.163536,65.35169,52.47516,66.540344,48.03347,32.180527
std,2.2407718,2.2138638,0.8939383,1.0637766,1.8465694,1.7539872,2.3202088,2.9529858,1.4642044
