,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,64.79686,51.32188,71.833084,51.904785,64.50908,45.739853,66.11664,40.64874,33.522163
std,2.403877,2.2293375,1.1965572,1.0776929,1.7322881,1.4796586,2.3905182,2.546062,1.6742917
