,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,60.494194,44.85049,62.44583,41.953796,61.90786,36.699512,67.281746,46.24405,45.161163
std,2.3399158,2.6126642,1.6384553,1.0960723,1.5069883,1.6252732,1.8334559,2.210731,0.7729398
