,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,60.111523,43.873257,64.10841,50.691113,58.228687,43.92113,58.516563,38.689827,28.187557
std,1.9274285,2.0496244,1.7181449,1.2058114,1.8922373,1.6439841,2.211202,1.9193873,1.2375276
