,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,57.457695,38.452442,65.68839,55.132515,58.38092,36.311584,59.823742,40.641613,35.511284
std,1.0631821,2.2113743,1.792836,1.7851382,2.173935,1.7877392,1.707891,1.6302907,1.0264535
