,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,68.4116,48.031628,70.684364,46.164177,67.21115,44.320045,64.56082,42.250668,32.40577
std,4.2183657,5.2821445,1.8272388,2.5342953,3.2516413,3.659963,1.2827901,2.1378565,2.67246
