,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,67.994934,48.346428,72.59491,58.207336,66.21612,44.845524,68.126755,47.441216,29.636494
std,3.8558047,4.9432406,2.0029132,3.5484314,2.255822,2.2928336,1.5866151,3.2523572,2.7505352
