,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,71.80342,54.03025,71.92823,55.131733,70.87184,52.813484,70.08892,51.891247,38.02955
std,4.192083,3.6921625,2.3491051,3.2098773,4.6875076,4.885171,1.7402636,2.211212,5.4146156
