,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,66.68231,51.46517,67.71089,54.213432,64.607086,45.95295,66.07935,45.974907,30.786871
std,5.6732945,5.729117,3.3022654,2.8270578,4.882012,5.3276415,3.3427157,3.3794827,2.790715
