,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,65.22632,51.132988,63.60331,50.991432,63.058704,48.94207,61.97877,47.190422,25.351833
std,2.440972,2.808947,2.4541657,3.30718,2.6206143,3.175752,1.0893015,1.7821597,1.5802436
