,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,65.244064,49.568,70.46913,50.174377,64.84092,41.432945,67.88823,42.80457,49.5677
std,2.2404945,2.2794223,2.0230606,1.9854996,1.9551446,1.875726,2.1429796,2.4316669,0.5945681
