,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,56.369087,41.188416,65.06964,58.09762,57.040936,42.19056,58.09682,43.206528,28.226435
std,2.1857204,2.582855,1.8860626,1.7583841,2.0251124,1.8001875,2.0494137,2.321433,1.5791043
