,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,62.368774,41.69805,71.08647,49.5516,64.6189,40.780952,65.61018,45.312813,41.920544
std,2.8017213,2.9976091,2.3014922,1.6839547,1.4608014,1.9201849,1.7006403,2.3808603,2.4255006
