,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,58.378395,39.73281,58.714653,39.04125,53.210884,34.74166,59.961456,44.0503,52.39547
std,1.8346277,1.97666,0.8365329,1.1335559,0.8801544,0.95625234,1.4074984,1.8260123,1.5751286
