,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,68.80982,51.77046,78.798355,70.916725,61.153893,40.897964,63.55374,41.65629,35.97637
std,1.3999885,2.1525486,1.4994951,2.4593475,1.7485311,2.2659707,1.2929889,2.2132409,2.0456426
