,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,62.86664,46.58633,63.19277,45.33401,61.75886,45.37783,61.914845,46.936737,35.987007
std,3.7462218,3.7084286,3.8686163,4.0355864,4.1262374,3.8600953,3.2059453,2.6087232,2.5490065
