,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,64.562744,47.972282,61.306488,40.97285,62.16682,44.75285,64.91771,49.68794,38.031506
std,4.0695543,3.7510793,4.5926733,4.059685,4.0824323,3.9606712,3.021977,1.9877964,1.9005973
