,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,70.08584,56.45876,70.94783,61.177437,64.61882,49.709877,66.06343,49.995934,25.9794
std,2.521025,3.5801995,2.805992,4.198346,2.3981297,3.2536976,1.6736537,2.352961,2.0635793
