,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,65.567535,45.791786,73.80138,58.985077,68.04321,46.22025,68.105286,49.427383,37.143642
std,2.9863222,3.2822459,2.0044553,2.073763,1.6783769,2.2985923,2.017399,3.0586007,2.2468762
