,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,52.68354,44.26998,58.860786,52.51647,51.156456,43.717278,53.00926,38.844997,26.850336
std,2.4032516,2.4624557,1.8163942,2.2511783,2.364703,2.3540757,1.739305,1.9072547,0.9964646
