,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,62.719154,43.633583,63.47215,43.65695,64.45071,45.601376,63.523582,41.89161,49.070015
std,2.940293,3.2791111,1.6427343,2.7349257,2.5646913,3.2795115,1.107895,1.7638285,1.5250406
