,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,58.083973,41.22631,65.280426,54.883507,56.660023,38.652763,57.266186,33.85466,32.98113
std,2.1889734,3.2984009,2.5847657,2.8299203,2.4874032,2.548428,1.2111223,1.4806479,1.641676
