,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,63.854115,46.771076,64.76692,50.51498,65.23349,43.835297,63.330486,45.53591,34.497795
std,1.5579475,2.0745606,1.9432079,2.717837,1.848853,1.6335343,1.1089474,2.0720868,1.5683087
