,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,61.070515,47.079643,71.897995,59.451897,61.519325,38.033005,68.93302,53.010048,41.646645
std,2.330544,2.604989,2.192178,2.6024492,1.6588798,1.9299899,2.0175376,2.4642332,1.2143157
