,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,52.709972,34.162033,57.261127,46.341423,51.64695,34.44655,56.404346,42.169666,29.88295
std,1.8605597,2.139168,1.0282105,1.3851614,1.9932476,2.236216,1.0582844,1.2024434,1.1913167
