,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,57.391376,39.586216,61.262512,50.373505,57.014137,38.9603,58.309593,39.548195,33.813927
std,1.7268206,2.1695058,1.7722017,2.0190997,1.27177,1.1936897,1.244022,2.4600594,2.503001
