,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,57.94881,44.803226,67.07722,46.430336,59.115765,34.89891,64.02667,43.314022,31.385242
std,2.376525,2.3473248,1.7960589,1.5174613,1.1785516,1.6540415,1.6304109,2.54886,0.56824803
