,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,64.187065,47.74244,65.21184,50.094467,63.677418,46.98076,65.91887,50.861454,34.437042
std,3.7887769,3.6653235,4.2668047,4.7903895,3.590984,3.8294044,2.8278394,2.4634886,2.569861
