,PER,PER_com,DATE,DATE_com,LOC,LOC_com,ORG,ORG_com,within
mean,66.74516,44.55723,69.43862,46.829624,68.662865,49.07007,66.97494,47.49813,35.787495
std,3.3440223,3.854325,1.892873,1.8661413,3.2368774,2.7844088,2.8772938,3.3357663,4.245964
